created_at,city,station,fuel,price,region,location
2026-08-28T15:50:00+00:00,Шумен,Топливо,Пропан Бутан,0.65,Шумен,ул. Университетска №10
2026-08-28T15:50:00+00:00,Бургас,Топливо,Дизел,1.78,Бургас,ул. Марица №1
2026-08-28T15:50:00+00:00,Силистра,Топливо,Бензин A95,1.55,Силистра,ул. 7-ми септември №21 (до митн. пункт)
2026-08-28T15:50:00+00:00,Силистра,Топливо,Дизел,1.8,Силистра,ул. 7-ми септември №21 (до митн. пункт)
2026-08-28T15:50:00+00:00,Силистра,Топливо,Пропан Бутан,0.64,Силистра,ул. 7-ми септември №21 (до митн. пункт)
2026-08-28T15:50:00+00:00,Силистра,Топливо,Дизел премиум,1.9,Силистра,ул. 7-ми септември №21 (до митн. пункт)
2026-08-28T15:50:00+00:00,Берковица,Топливо,Бензин A95,1.57,Монтана,ул. Тимок №1
2026-08-28T15:50:00+00:00,Берковица,Топливо,Дизел,1.84,Монтана,ул. Тимок №1
2026-08-28T15:50:00+00:00,Добрич,Топливо,Бензин A95,1.56,Добрич,"ж.к. Добротица, Околовръстен път"
2026-08-28T15:50:00+00:00,Добрич,Топливо,Дизел,1.85,Добрич,"ж.к. Добротица, Околовръстен път"
2026-08-28T15:50:00+00:00,Добрич,Топливо,Пропан Бутан,0.67,Добрич,"ж.к. Добротица, Околовръстен път"
2026-08-28T15:50:00+00:00,Нова Загора,Топливо,Дизел,1.78,Сливен,ул. Димитър Благоев №1
2026-08-28T15:50:00+00:00,София,Топливо,Бензин A95,1.6,София,бул. Владимир Вазов №89 (кв. Враждебна)
2026-08-28T15:50:00+00:00,София,Топливо,Дизел,1.85,София,бул. Владимир Вазов №89 (кв. Враждебна)
2026-08-28T15:50:00+00:00,София,Топливо,Пропан Бутан,0.65,София,бул. Владимир Вазов №89 (кв. Враждебна)
2026-08-28T15:50:00+00:00,София,Топливо,Бензин A100,1.75,София,бул. Владимир Вазов №89 (кв. Враждебна)
2026-08-28T15:50:00+00:00,Видин,Топливо,Дизел,1.84,Видин,ул. Боров камък №6 (ЗПЗ)
2026-08-28T15:50:00+00:00,Божурище,Топливо,Дизел,1.84,,бул. Европа №4
2026-08-28T15:50:00+00:00,Божурище,Топливо,Пропан Бутан,0.65,,бул. Европа №4
2026-08-28T15:50:00+00:00,Шумен,Топливо,Дизел,1.8,Шумен,Западна промишлена зона
2026-08-28T15:50:00+00:00,Поморие,Топливо,Бензин A95,1.67,Бургас,ул. Манастирска №1
2026-08-28T15:50:00+00:00,Поморие,Топливо,Дизел,1.88,Бургас,ул. Манастирска №1
2026-08-28T15:50:00+00:00,Поморие,Топливо,Пропан Бутан,0.69,Бургас,ул. Манастирска №1
2026-08-28T15:50:00+00:00,Поморие,Топливо,Бензин A100,1.75,Бургас,ул. Манастирска №1
2026-08-28T15:50:00+00:00,Варна,Топливо,Бензин A95,1.56,Варна,ул. Янко Мустаков №47 (до бл. 301)
2026-08-28T15:50:00+00:00,Варна,Топливо,Дизел,1.83,Варна,ул. Янко Мустаков №47 (до бл. 301)
2026-08-28T15:50:00+00:00,Варна,Топливо,Пропан Бутан,0.65,Варна,ул. Янко Мустаков №47 (до бл. 301)
2026-08-28T15:50:00+00:00,Варна,Топливо,Бензин A95,1.56,Варна,бул. Република №21
2026-08-28T15:50:00+00:00,Варна,Топливо,Дизел,1.83,Варна,бул. Република №21
2026-08-28T15:50:00+00:00,Варна,Топливо,Пропан Бутан,0.65,Варна,бул. Република №21
2026-08-28T15:50:00+00:00,Айтос,Топливо,Дизел,1.78,Бургас,Промишлена зона 1
2026-08-28T15:50:00+00:00,Карнобат,Топливо,Дизел,1.78,Бургас,ул. Трета 18
2026-08-28T15:50:00+00:00,Елхово,Топливо,Дизел,1.74,Ямбол,кв. Индустриален 38
2026-08-28T15:50:00+00:00,Русе,Топливо,Бензин A95,1.56,Русе,ул. Потсдам №9
2026-08-28T15:50:00+00:00,Русе,Топливо,Дизел,1.82,Русе,ул. Потсдам №9
2026-08-28T15:50:00+00:00,Русе,Топливо,Пропан Бутан,0.65,Русе,ул. Потсдам №9
2026-08-28T15:47:00+00:00,Мартен,КарТел,Бензин A95,1.48,Русе,ул. Ясна поляна №1
2026-08-28T15:47:00+00:00,Мартен,КарТел,Дизел,1.75,Русе,ул. Ясна поляна №1
2026-08-28T15:47:00+00:00,Мартен,КарТел,Пропан Бутан,0.62,Русе,ул. Ясна поляна №1
2026-08-28T15:47:00+00:00,Мартен,КарТел,Бензин A100,1.71,Русе,ул. Ясна поляна №1
2026-08-28T15:47:00+00:00,Мартен,КарТел,Дизел премиум,1.85,Русе,ул. Ясна поляна №1
2026-08-28T15:47:00+00:00,Златица,ЕКО,Бензин,1.51,,местност Тръстиката шосе E871
2026-08-28T15:47:00+00:00,Златица,ЕКО,Дизел,1.76,,местност Тръстиката шосе E871
2026-08-28T15:47:00+00:00,Златица,ЕКО,Бензин A100,1.64,,местност Тръстиката шосе E871
2026-08-28T15:47:00+00:00,Равно поле,ЕКО,Бензин,1.51,,Индустриална зона 1
2026-08-28T15:47:00+00:00,Равно поле,ЕКО,Дизел,1.76,,Индустриална зона 1
2026-08-28T15:47:00+00:00,Равно поле,ЕКО,Бензин A100,1.64,,Индустриална зона 1
2026-08-28T15:47:00+00:00,Хасково,ЕКО,Бензин,1.49,Хасково,ул. Стара Планина №54A
2026-08-28T15:47:00+00:00,Хасково,ЕКО,Дизел,1.76,Хасково,ул. Стара Планина №54A
2026-08-28T15:47:00+00:00,Хасково,ЕКО,Бензин A100,1.64,Хасково,ул. Стара Планина №54A
2026-08-28T15:47:00+00:00,Нови хан,ЕКО,Бензин,1.49,,"Главен път Е80 , изход София"
2026-08-28T15:47:00+00:00,Нови хан,ЕКО,Дизел,1.76,,"Главен път Е80 , изход София"
2026-08-28T15:47:00+00:00,Вакарел,ЕКО,Бензин,1.51,,"Главен път Е80, изход София"
2026-08-28T15:47:00+00:00,Вакарел,ЕКО,Дизел,1.76,,"Главен път Е80, изход София"
2026-08-28T15:47:00+00:00,Брезник,ЕКО,Бензин,1.49,Перник,ул. Андрей Михайлов №106
2026-08-28T15:47:00+00:00,Брезник,ЕКО,Дизел,1.75,Перник,ул. Андрей Михайлов №106
2026-08-28T15:47:00+00:00,Брезник,ЕКО,Бензин A100,1.64,Перник,ул. Андрей Михайлов №106
2026-08-28T15:47:00+00:00,София,ЕКО,Бензин,1.47,София,бул. Цариградско шосе №164 (база на Хидрострой)
2026-08-28T15:47:00+00:00,София,ЕКО,Дизел,1.72,София,бул. Цариградско шосе №164 (база на Хидрострой)
2026-08-28T15:47:00+00:00,София,ЕКО,Бензин,1.51,София,ул. Гюешево №80
2026-08-28T15:47:00+00:00,София,ЕКО,Дизел,1.76,София,ул. Гюешево №80
2026-08-28T15:47:00+00:00,София,ЕКО,Бензин A100,1.64,София,ул. Гюешево №80
2026-08-28T15:47:00+00:00,Елин Пелин,ЕКО,Бензин,1.51,София област,бул. България №7
2026-08-28T15:47:00+00:00,Елин Пелин,ЕКО,Дизел,1.76,София област,бул. България №7
2026-08-28T15:47:00+00:00,Елин Пелин,ЕКО,Бензин,1.51,София област,бул. Новоселци №101
2026-08-28T15:47:00+00:00,Елин Пелин,ЕКО,Дизел,1.76,София област,бул. Новоселци №101
2026-08-28T15:47:00+00:00,Елин Пелин,ЕКО,Бензин A100,1.64,София област,бул. Новоселци №101
2026-08-28T15:47:00+00:00,София,ЕКО,Бензин,1.51,София,ул. Константин Стоилов №62
2026-08-28T15:47:00+00:00,София,ЕКО,Дизел,1.76,София,ул. Константин Стоилов №62
2026-08-28T15:47:00+00:00,София,ЕКО,Бензин A100,1.64,София,ул. Константин Стоилов №62
2026-08-28T15:47:00+00:00,София,ЕКО,Бензин,1.51,София,ул. Йосиф Щросмайер №25
2026-08-28T15:47:00+00:00,София,ЕКО,Дизел,1.76,София,ул. Йосиф Щросмайер №25
2026-08-28T15:47:00+00:00,София,ЕКО,Бензин,1.51,София,бул. Искърско Шосе 1-Е
